id,负责人,是否完成（无法完成备注）,function,question,prepareCode,runCode
11,嘉锋,,createLookupJoinEngine,假设有一个实时传感器数据流sensorStream包含时间戳timestamp、设备ID deviceId和温度值temp，另有一个设备信息表deviceInfo存储在分布式数据库deviceDB中，包含设备ID deviceId、位置location和校准系数calibFactor。每当传感器数据到达时，需要立即关联该设备的最新校准系数，并计算校准后的温度值（temp * calibFactor）。输出结果需包含deviceId、temp、calibFactor和adjustedTemp，保存到result表中。请编写代码实现此实时计算逻辑。,"share streamTable(1000:0, `timestamp`deviceId`temp, [TIMESTAMP, SYMBOL, DOUBLE]) as sensorStream
dbPath = ""dfs://deviceDB""
if(existsDatabase(dbPath)) dropDatabase(dbPath)
db = database(dbPath, VALUE, `A`B`C)
deviceInfo = db.createPartitionedTable(table(1000:0, `deviceId`location`calibFactor`updateTime, [SYMBOL, SYMBOL, DOUBLE, TIMESTAMP]), `deviceInfo, `deviceId)
share table(1000:0, `deviceId`temp`calibFactor`adjustedTemp, [SYMBOL, DOUBLE, DOUBLE, DOUBLE]) as result
","engine = createLookupJoinEngine(
name=""sensorCalibEngine"",
leftTable=sensorStream,
rightTable=<select * from loadTable(dbPath, `deviceInfo)>,
outputTable=result,
metrics=<[temp, calibFactor, temp*calibFactor]>,
matchingColumn=`deviceId,
rightTimeColumn=`updateTime,
checkTimes=[08:00:00, 20:00:00]
)
subscribeTable(tableName=""sensorStream"", actionName=""appendSensorData"", handler=appendForJoin{engine, true}, msgAsTable=true)
"
12,嘉锋,,createPartitionedTable,某证券公司需要存储不同行业的个股估值指标数据，要求按行业和日期进行复合分区，每个分区内按股票代码和时间戳排序，并对行业列采用哈希降维。请准备包含股票代码、行业、日期和PB值的测试表，创建分布式表结构，要求使用时间列的delta压缩，保留最新数据，并返回变量名为result的分区表句柄。,"n=1000
symbol = ""S""+lpad(string(1..n),6,""0"")
industry = rand([""Bank"",""Energy"",""Tech"",""Healthcare""],n)
date = take(2023.01.01..2023.01.05,n)
pb = rand(0.5..5.0,n)
testData = table(symbol,industry,date,pb)","db1 = database("""",VALUE,[""Bank"",""Energy"",""Tech"",""Healthcare""])
db2 = database("""",RANGE,2023.01.01 2023.01.06 2023.01.11)
db = database(""dfs://stock_valuation"",COMPO,[db1,db2],engine=""TSDB"")
result = db.createPartitionedTable(table=testData, tableName=""pb_data"", partitionColumns=[""industry"",""date""], 
sortColumns=[""symbol"",""date""], compressMethods={""date"":""delta""}, keepDuplicates=LAST, 
sortKeyMappingFunction=[hashBucket{,16}])"
13,嘉锋,,cumlastNot,"在股票交易系统中，某只股票的成交价（第一列）存在缺失（NULL），需用前一有效价格填充；成交量（第二列）中错误标记的-1需替换为前一个非-1的值。输入矩阵m的第一列为[NULL,45.2,NULL,44.8,NULL]，第二列为[-1,-1,12000,-1,15000]。请处理数据并将结果存入result。","m = matrix([NULL,45.2,NULL,44.8,NULL], [-1,-1,12000,-1,15000])","col1 = cumlastNot(m.col(0))
col2 = cumlastNot(m.col(1), -1)
result = matrix(col1, col2)"
14,嘉锋,,cumsum3,某物联网设备每小时采集一次两组传感器的振动强度值，数据存储为3行2列的矩阵m:第一列数值为3、1、4，第二列数值为2、5、6。需要计算每个时间点上各组传感器从首次记录到当前时刻的振动强度三次方累加值，将结果存入result变量。,"m = matrix([3,1,4], [2,5,6])",result = cumsum3(m)
15,嘉锋,,dayOfYear,给定一个包含两个物联网设备事件时间的datetime向量eventTimes，计算每个事件发生在当年的第几天，并将结果存储在变量result中。输入数据格式为datetime类型的向量，输出为整型向量。,"eventTimes = [2023.03.15T08:45:00, 2023.10.22T14:30:00]",result = dayOfYear(eventTimes)
16,嘉锋,,daysInMonth,某物联网平台需要统计设备日志记录所在月份的总天数进行存储规划。给定三个设备的日期数据分别为2020年2月15日、2021年2月18日、2024年2月29日，输入变量dates为DATE类型向量，输出结果为各日期所属月份的天数并存入result整型向量。,"dates = [2020.02.15, 2021.02.18, 2024.02.29]",result = daysInMonth(dates)
17,嘉锋,,def,"给定一个包含时间戳、资产代码和波动率的因子表factor_table（结构:date, asset, volatility），以及每个资产对应的行业分类表industry_table（结构:asset, sector）。如何计算每个行业每天的平均波动率和最大值，并按行业和日期分组返回结果？要求输入数据为内存表，输出结果存储在变量result中，格式为包含sector、date、volatility_avg、volatility_max的分组表。","dates = 2023.01.01..2023.01.03
assets = `AAPL`MSFT`GOOG`AMZN`TSLA
factor_data = table(
take(dates, 15) as date,
take(assets, 15) as asset,
rand(10.0, 15) as volatility
)
industry_map = table(
assets as asset,
[`Technology`Technology`Technology`Consumer`Automotive] as sector
)
","def calc_sector_metrics(tb, metric_col, func_list, groups){
agg_cols = sqlCol(metric_col)
agg_codes = each(def(fname, col)->sqlColAlias(sqlCol(col, funcByName(fname)), metric_col+""_""+fname), func_list, take(metric_col, size(func_list)))
return sql(agg_codes, tb, groupBy=each(sqlCol, groups)).eval()
}

result = calc_sector_metrics(
lsj(factor_data, industry_map, `asset),
""volatility"",
[""avg"", ""max""],
[""sector"", ""date""]
)
"
18,嘉锋,,defg,"某股票分析场景中，需要计算过去5个交易日内每日收盘价相对于窗口内最高价的位置偏移量，生成对应的动量指标序列。输入数据为时间戳数组timestamp（包含连续5个交易日）和收盘价数组close（例如[25.3,26.1,24.8,27.5,26.9]）。请编写计算逻辑，输出结果存储在result变量，要求对每个有效窗口输出(窗口长度-最大值索引-1)的数值。","timestamp = 2023.06.01..2023.06.05
close = [25.3, 26.1, 24.8, 27.5, 26.9]","result = moving(defg(x){return size(x) - imax(x.reverse()) - 1}, close, 3)"
19,嘉锋,,eachRight,"在物联网传感器校准中，现有字典存储了三个设备(s1,s2,s3)记录的时序数据，每个设备包含3个采样值（s1:[5,6,7], s2:[8,9,10], s3:[11,12,13]）。给定校准向量[0.5,1.0,1.5]，需要对每个设备的每个采样值依次加上校准向量对应位置的修正量。请输出处理后的新字典，变量名为result。","d = dict(`s1`s2`s3, [[5,6,7],[8,9,10],[11,12,13]])
calibration = 0.5 1.0 1.5",result = calibration add:R d
20,嘉锋,,extractTextSchema,"当前有一个物联网设备上传的温度监测CSV文件，该文件使用竖线分隔符，且首行为无关的注释需要跳过。已知文件路径为""tempData.csv""，包含四列数据:时间戳（格式2023.08.15T14:30）、设备ID、温度值、异常状态标识。请编写代码获取该文件的结构描述表，要求结果包含列名称和自动推断的数据类型。","|
data = table([""2023.08.15T14:30|DHT22-001|36.5|0"", ""2023.08.15T15:00|DHT22-002|38.1|1""] as content)
saveText(data, ""tempData.csv"", delimiter='|')","|
// 跳过首行注释，提取竖线分隔文件结构
result = extractTextSchema(filename=""tempData.csv"", delimiter=""|"", skipRows=1)

prepareCode: |
data = table([""2023.08.15T14:30|DHT22-001|36.5|0"", ""2023.08.15T15:00|DHT22-002|38.1|1""] as content)
saveText(data, ""tempData.csv"", delimiter='|')

runCode: |
result = extractTextSchema(filename=""tempData.csv"", delimiter=""|"", skipRows=1)"
21,嘉锋,,for,"在物联网场景中，某传感器监测表sensorReadings包含三列:timestamp(时间戳)、deviceID(设备编号)、hourlyReadings(每小时读数数组)。请逐行处理每个设备的读数数据，计算每行的累计耗电量总和，并将处理结果存储在result变量中。输入表格式为:timestamp(DATETIME), deviceID(SYMBOL), hourlyReadings(INT[])，输出结果应为包含累计值的INT型向量。","sensorReadings = table(2023.01.01T09:00:00 2023.01.01T09:30:00 as timestamp, `D1001 `D1002 as deviceID, [[12,15,18], [8,9,7]] as hourlyReadings)","result = []
for(record in sensorReadings){
result.append!(sum(record[`hourlyReadings]))
}
result = matrix(result).transpose()[0]"
22,嘉锋,,funcByName,"在因子分析中，我们需要根据行业分类动态计算各资产的因子值分布。给定包含日期、资产代码、因子值的表factor_table(date,asset,factor)，以及包含资产代码与行业的映射表group_table(asset,industry)，请按行业分组计算每个资产因子值的十分位数组别（0-9），要求使用动态函数调用方式实现分位数计算，结果需包含资产代码、日期、行业和十分位数列。","factor_table = table(2023.01.01 2023.01.01 2023.01.02 2023.01.02 as date, `AAPL`MSFT`GOOG`AMZN as asset, 0.5 -1.2 2.3 -0.8 as factor)
group_table = table(`AAPL`MSFT`GOOG`AMZN as asset, `Tech`Tech`Tech`Retail as industry)
","calc_decile = def(tb, group_tb, q_func) {
return select asset, date, industry, rank(factor, percent=true)/10 as decile from ej(tb, group_tb, `asset) group by industry, date context by asset map(funcByName(q_func), 10)
}
result = calc_decile(factor_table, group_table, ""quantile"")
"
23,嘉锋,,getComputeGroupChunksStatus,"在物联网实时监控平台中，需要获取名为""EdgeProcessing""计算组内所有只读权限的数据分块信息，包含分区路径、目标路由节点、缓存节点和权限状态。已知系统元数据存储在控制节点，输入格式为内置计算组结构，输出结果需要包含所有符合条件的chunk数据并存入result变量。",<!-- 无需准备数据，直接调用系统元数据 -->,"result = getComputeGroupChunksStatus(""EdgeProcessing"").select(permission == ""READ_ONLY"")"
24,嘉锋,,getJobStatus,"在实时监控物联网设备数据处理任务时，用户通过任务ID""devBatch_202305""提交了批处理作业。需要获取该作业当前执行的进度状态，包括任务接收时间、处理耗时和是否完成。输入数据为字符串类型的作业标识符jobID，输出要求为包含节点信息、时间戳和错误日志的数据表格，存储在变量result中。","
def processSensorData(n){
total = 0
for(i in 1..n){
total += sum(rand(0.0,100.0,10000000))
print(""Processing batch "" + i)
}
return total
}
jobID = ""devBatch_202305""
submitJob(jobID, ""设备温度处理任务"", processSensorData, 60)
","
result = getJobStatus(jobID)
"
25,嘉锋,,getOS,"在金融交易系统中，服务器需要根据当前操作系统的类型动态切换日志存储目录的格式。请编写代码获取当前环境的系统类别，并将结果存入变量result中。输入数据无需准备，输出结果为表示系统类型的字符串（如""linux""），变量名为result。",,result = getOS()
26,嘉锋,,getSlaveReplicationStatus,物联网平台需要监控设备日志同步任务的执行情况，当前从集群有多个未完成和已完成的任务。请获取最近处理的5条任务记录，包括任务ID、状态、创建时间和对应的数据库路径，将结果存入变量result。输入数据来自系统异步复制状态，输出为包含taskId/state/createTime/dbName等字段的表结构。,,"result = getSlaveReplicationStatus(limit=5)
"
27,嘉锋,,getTraces,在数据库运维监控中，需要获取最近30秒内客户端发送的所有操作脚本及其执行指纹，包含时间戳、原始脚本内容、16进制跟踪编号和会话编号。已知系统已执行过用户登录、创建内存表、批量插入300条随机温度传感器数据并进行范围查询，输出结果需要存储在变量result中。输入数据格式为时间类型表、字符串类型脚本、UUID类型traceId、复合类型sessionId。,"
login(""admin"", ""123456"")
setTraceMode(true)

sensorID = rand(`A001`B002`C003, 300)
timestamp = 2023.06.01T00:00:00.000 + 1..300
temperature = rand(20.0..40.0, 300)
sensors = table(timestamp, sensorID, temperature)
insert into loadTable(""dfs://iot"", `sensors) values(sensors.timestamp, sensors.sensorID, sensors.temperature)

select avg(temperature) from sensors where timestamp between 2023.06.01T00:00:00.000 : 2023.06.01T00:05:00.000 group by sensorID
","
result = getTraces()
"
28,嘉锋,,grant,某金融公司需要限制用户“FinanceUser”只能创建以“fin_2023q1”和“fin_2023q2”为前缀的数据库，并允许其在合规审计组中操作。请编写DolphinDB权限控制代码，执行结果存入变量result。,,"result = grant(""FinanceUser"", DB_OWNER, [""fin_2023q1*"", ""fin_2023q2*""])"
29,嘉锋,,if,在物联网设备监控场景中，给定设备温度数据表tempData，包含timestamp（时间戳）、deviceID（设备ID）、temperature（温度值）三列。需要根据每个设备的温度值生成状态信息:温度超过100度为高温预警，80-100度之间为注意散热，否则为正常。输出结果为每个设备的状态列表，赋值给result。,"tempData = table(
[""2023-01-01 00:00:00"",""2023-01-01 00:05:00"",""2023-01-01 00:10:00"",""2023-01-01 00:15:00""] as timestamp,
[""D001"",""D002"",""D003"",""D004""] as deviceID,
[85, 105, 95, 70] as temperature
)
","def checkStatus(temp) {
if (temp > 100) {
return ""高温预警""
} else if (temp >= 80) {
return ""注意散热""
} else {
return ""正常""
}
}

result = tempData.temperature.map(checkStatus)
"
30,嘉锋,,in,给定一组待验证的股票代码向量stocks，其中包含四个元素`AAPL、IBM、TSLA、MSFT。另有一个内存表t，其唯一的symbols列存储了三个有效股票代码`IBM、MSFT、GOOG。请生成一个布尔向量result，标识每个待验证股票是否存在于有效列表中。,"t = table(`IBM`MSFT`GOOG as symbols)
stocks = [`AAPL, `IBM, `TSLA, `MSFT]","result = in(stocks, t)"
31,嘉锋,,invF,"在方差分析的假设检验中，给定分子自由度为3.6、分母自由度为7.2，需计算四个置信概率[0.95,0.975,0.99,0.995]对应的分布临界点。输入数据包括两个浮点型自由度参数和一个概率值向量，生成对应的检验阈值并存入result变量。","numeratorDF = 3.6
denominatorDF = 7.2
confidenceLevels = [0.95, 0.975, 0.99, 0.995]","result = invF(numeratorDF, denominatorDF, confidenceLevels)"
32,嘉锋,,isNull,在物联网设备监控场景中，某传感器采集的温度数据存在部分缺失。给定包含时间戳和设备温度的表sensor_data，其中温度列存在空值。请生成一个与原表结构相同的新表，用布尔值标记温度字段是否缺失，并将结果存储在result变量中。输入表结构:timestamp为时间戳，temperature为INT类型；输出结果为BOOL类型矩阵。,"sensor_data = table(2023.01.01T09:00:00 + 0..6 as timestamp, [32, NULL, 35, NULL, 36, 38, NULL] as temperature)
","result = isNull(sensor_data.temperature)
"
33,嘉锋,,isUpper,在物联网设备状态监测中，需要检测一组传感器状态字段是否满足全大写字母规范（允许存在数字和符号）。给定字符串向量strs包含4个元素:'ALARM'（纯大写）、'status'（全小写）、'ERROR_500'（含数字的大写）、'test123'（含数字的小写）。输出布尔型向量result标记各字段是否符合规范。,"strs = [""ALARM"", ""status"", ""ERROR_500"", ""test123""]",result = isUpper(strs)
34,嘉锋,,isValid,在物联网监控系统中，传感器表sensorData包含时间戳time、设备编号sensorID和温度temperature字段，其中temperature存在缺失值。请生成一个布尔数组，标识每条记录的temperature是否为有效数据，结果存入result。输入表结构:time为时间类型向量，sensorID为SYMBOL类型向量，temperature为DOUBLE类型向量存在NULL值；输出结果为BOOLEAN类型向量，变量名为result。,"time = 2023.01.01T09:00:00 2023.01.01T09:05:00 2023.01.01T09:10:00 2023.01.01T09:15:00
sensorID = `A`B`A`B
temperature = 25.6 32.1 NULL 28.5
sensorData = table(time, sensorID, temperature)",result = isValid(sensorData.temperature)
35,嘉锋,,join,"在工业物联网场景中，某个监控系统将两台设备的三项运行参数存储为2行3列的矩阵x（每行代表设备，每列代表参数）。现需要将环境温湿度检测装置采集的两组标量数据y=[26.8,19.3]作为新列追加到矩阵右侧，形成2行4列的监控矩阵。请编写代码实现矩阵扩展。","x = 1..6$2:3
y = [26.8, 19.3]",result = x <- y
36,嘉锋,,lowRange,某温度传感器表sensorData包含传感器ID（sensorID）为S1的7条记录，时间戳ts从2023.01.01到2023.01.07，温度temp依次为23.5、23.4、23.6、23.3、23.2、23.5、23.1。需要计算每个温度值是前面连续多少个时段的最低值，结果列命名为lowRange_temp，并存储在变量result中。,"sensorData = table(take(`S1,7) as sensorID, 2023.01.01 + 0..6 as ts, [23.5,23.4,23.6,23.3,23.2,23.5,23.1] as temp)
","result = select *, lowRange(temp) as lowRange_temp from sensorData
"
37,嘉锋,,matchSpan,"在物联网设备日志分析中，需要从message字段里找出包含""电压异常""告警的记录。已知日志表包含三列（设备ID、时间戳、日志内容），要求匹配短语前后或中间允许存在最多1个其他词汇，返回符合条件的所有字段。输入数据表名为device_logs，日志内容字段为message且已建立英文文本索引（忽略大小写和词干），输出结果存入变量result。","device_ids = [""D1001"", ""D1002"", ""D1003"", ""D1004""]
timestamps = 2023.12.01T09:00:00 + 1..4
messages = [
""WARNING: Voltage anomaly detected in circuit A"",
""CRITICAL: Voltage levels show abnormal readings"",
""ALERT: Voltage regulator overheating with anomaly"",
""Voltage stabilization failed, triggering emergency shutdown""
]
device_logs = table(device_ids as deviceID, timestamps as ts, messages as message)

if(existsDatabase(""dfs://iotDB"")) dropDatabase(""dfs://iotDB"")
db = database(directory=""dfs://iotDB"", partitionType=VALUE, partitionScheme=[""D1001"",""D1002"",""D1003"",""D1004""], engine=""PKEY"")
pt = createPartitionedTable(db, device_logs, ""logs"", ""deviceID"", primaryKey=`deviceID, indexes={""message"":""textindex(parser=english, full=false, lowercase=true, stem=true)""})
pt.tableInsert(device_logs)
","result = select * from pt where matchSpan(message, ""voltage anomaly"", 1)
"
38,嘉锋,,merge,"在物联网场景中，设备A每隔2小时采集一次温度数据（时间点为08:00、10:00等），设备B每隔3小时采集一次湿度数据（时间点为09:00、12:00等），需要将两个传感器的完整时间线合并展示，缺失数值保留空值。已知temp_seq为设备A的索引序列（数值21.5,22.1,23.0对应时间08:00,10:00,12:00），humi_seq为设备B的索引序列（数值45,47对应时间09:00,12:00），如何生成包含完整时间戳且保留双方数据的二维表？","timeA = 2023.06.01T08:00 2023.06.01T10:00 2023.06.01T12:00
temp_seq = indexedSeries(timeA, [21.5, 22.1, 23.0])
timeB = [2023.06.01T09:00, 2023.06.01T12:00]
humi_seq = indexedSeries(timeB, [45, 47])","result = merge(temp_seq, humi_seq, 'outer')"
39,嘉锋,,mifirstNot,"在物联网温度监测中，处理传感器数据时存在缺失值。给定一个时间索引的温度序列tempSeries（时间列为2023.01.01T09:00开始，每30秒一次，共7条记录；数值列为[空值,23.5,空值,24.8,空值,25.0,26.1]），在长度为4的窗口内，寻找每个窗口第一个有效值的下标，要求窗口至少有2个非空值，否则返回-1。请输出结果到result。","sensorTime = 2023.01.01T09:00 + 0..6 * 30
temps = [NULL, 23.5, NULL, 24.8, NULL, 25.0, 26.1]
tempSeries = indexedSeries(sensorTime, temps)","result = mifirstNot(tempSeries, 4, 2)"
40,嘉锋,,movingWindowData,"在处理某物联网设备连续7天采集的温度数据时，需要提取长度为4天的滑动窗口序列，前几个不完整窗口的位置用空值填充。已知温度数据存储在向量temperature中，格式为[29.5,30.1,28.7,31.2,27.9,26.5,30.8]。请生成包含完整滑动窗口数据的数组向量，要求输出结果的行长度固定为4天，并将最终结果存储在result变量中。","temperature = [29.5, 30.1, 28.7, 31.2, 27.9, 26.5, 30.8]","result = movingWindowData(X=temperature, window=4, fixed=true)"
41,嘉锋,,mul,"在物联网场景中，某设备采集了三个监测点两个维度的传感器数据，存储为3行2列的矩阵m，具体数值为[[1,2],[3,4],[5,6]]。需要将第一列数据整体放大2倍，第二列放大3倍，求处理后的矩阵并将结果存入result。","m = 1..6$3:2
scales = [2, 3]","result = m * scales

output
比如，原始矩阵:
1 2
3 4
5 6
乘以scales后:
2 (1*2), 6 (2*3)
6 (3*2), 12 (4*3)
10 (5*2), 18 (6*3)
"
42,嘉锋,,ne,"某实时监控系统需要判断两个传感器组采集的编号集合是否完全相同。已知传感器组A的编号集合为{101, 102, 105}，传感器组B的编号集合为{105, 102, 107}，要求输出差异判定结果到result变量，若不同则返回1。","x = set([101, 102, 105])
y = set([105, 102, 107])
","result = x != y
"
43,嘉锋,,objs,在物联网设备监控系统中存在若干共享内存表用于存储设备温度与状态数据，如何列出当前所有共享表（包括表名、数据类型、内存大小字节数），要求结果包含分布式表的逻辑路径？已知输入数据包括:共享表deviceTemp（时间、设备ID、温度字段）和deviceStatus（时间、设备ID、状态码字段），输出结果变量名为result。,"time = 2023.06.01T09:00:00..2023.06.01T09:10:00
deviceID = take(`D001..D100, 100)
temp = rand(20..40, 100)
deviceTemp = table(time, deviceID, temp)
share(deviceTemp, `sharedTemp)

statusTime = 2023.06.01T09:00:00..2023.06.01T09:05:00
statusCode = rand(0..5, 60)
deviceStatus = table(statusTime, take(`D001..D060,60), statusCode)
share(deviceStatus, `sharedStatus)

db = database(""dfs://iotDB"", VALUE, 2023.06.01..2023.06.03)
distTable = db.createPartitionedTable(deviceTemp, `distDevice, `time)
share(distTable, `sharedDistTable)
","result = select name, type, bytes, extra from objs(true) where form=""TABLE"" and shared=true
"
44,嘉锋,,percentileRank,在股票分析中，某股票近5个交易日的收盘价数据为120、130、140、150、160，保存在变量closePrices（数值向量）中。现需要评估当前价格145在该数据集中的相对位置，采用严格方法和宽松方法的平均策略。请编写代码计算这一指标，将结果存入变量result。,closePrices = 120 130 140 150 160,"result = percentileRank(closePrices, 145, ""mean"")"
45,嘉锋,,pipeline,某物联网平台每小时采集传感器数据并存储于分布式表。需按时间顺序依次处理每个小时的数据:先加载指定小时记录，计算温度滚动平均值，随后将结果存入新表。如何设计多步骤流水线确保处理顺序且中间结果不超内存？输入变量v为2023年1月每小时时间戳构成的MONTH向量，输出结果存入变量result。,"v = 2023.01M..2023.01M+23  # 24个小时级时间戳

def loadHour(h):
# 模拟分布式表结构
if not existsTable(""dfs://sensorDB"", ""hourlyData""):
db = database(""dfs://sensorDB"", VALUE(2023.01M..2023.12M))
t = table(take(h,1000) as time, rand(20..40,1000) as temp, take(`A001,1000) as device)
db.createPartitionedTable(t, ""hourlyData"", `time)

return select * from loadTable(""dfs://sensorDB"",""hourlyData"") where time=h

def calcIndicators(tb):
return select time, device, mavg(temp,3).fill(0) as rolling_temp from tb context by device

def saveResults(tb):
tb.saveText(""/iot/processed_data.csv"",',',true)
return tb.size()
","result = pipeline(
each(partial{loadHour}, v),
[calcIndicators, saveResults],
queueDepth=3
)
"
46,嘉锋,,reciprocal,在物联网系统中，四个电阻器的阻值分别为5Ω、10Ω、20Ω和25Ω，存储在向量resistors中。请计算各电阻器的电导值（单位为S），结果存储在变量result中。输入数据格式为整型向量resistors，输出数据格式为DOUBLE类型向量result。,"resistors = [5, 10, 20, 25]",result = reciprocal(resistors)
